ons_code,authority,region,sfa_2018,under_index_2018,ct_total_2018,nhb_2018,nhb_return_2018,rsdg_2018
E31000028,"Northamptonshire Police, Fire and Crime Commissioner",EM,0,0,0,0,0,0
E06000057,Northumberland,NE,85.28050221,1.51915805,167.7257484,5.805013871,0,2.340251107
E07000148,Norwich,EE,6.740654739,0.131968761,9.1004831,0.836821024,0,0
E06000018,Nottingham,EM,127.882456,2.128986594,110.4060571,3.810533318,0,0
E10000024,Nottinghamshire,EM,127.305336,2.400570132,351.0166644,2.041258626,0,0
E31000030,Nottinghamshire Fire,EM,16.3948979,0.239099333,24.23606708,0,0,0
E07000219,Nuneaton And Bedworth,WM,3.819868061,0.081380664,8.437054624,1.304545514,0,0
E07000135,Oadby And Wigston,EM,1.62441303,0.03399799,3.76150829,0.338534473,0,0
E08000004,Oldham,NW,85.92505746,1.428285599,86.95251864,1.600955487,0,0
E07000178,Oxford,SE,6.651353397,0.137992137,13.33614932,1.271201488,0,0
E10000025,Oxfordshire,SE,75.08446832,1.58620146,352.0418806,3.365895711,0,0
E07000122,Pendle,NW,5.623629384,0.089750047,6.09614886,0.487964341,0,0
E06000031,Peterborough,EE,55.46728161,0.926097307,73.43751466,5.153148714,0,0
E06000026,Plymouth,SW,72.43639859,1.285937882,105.7673742,3.487429331,0,0
E06000029,Poole,SW,18.41540656,0.382481805,80.03496211,1.777507538,0,0
E06000044,Portsmouth,SE,63.6300605,1.069600498,74.65955941,2.06807576,0,0
E07000123,Preston,NW,6.013138095,0.12255598,11.36037474,1.206810563,0,0
E07000051,Purbeck,SW,1.111721612,0.025476954,3.603586878,0.29416378,0,0.050629815
E06000038,Reading,SE,35.73571477,0.676642958,86.6624515,3.464102208,0,0
E09000026,Redbridge,L,68.18493366,1.178036169,109.858033,1.162519971,0,0
E06000003,Redcar And Cleveland,NE,46.08567419,0.794815571,58.88905578,1.522086103,0,0
E07000236,Redditch,WM,2.157818597,0.048637676,6.0976188,0.674371226,0,0
E07000211,Reigate And Banstead,SE,2.294726796,0.052587489,13.20258968,2.587621897,0,0
E07000124,Ribble Valley,NW,1.41197207,0.029856364,3.45110238,1.575907647,0,0.1079206
E09000027,Richmond upon Thames,L,21.71430371,0.49761946,125.4062667,2.199416563,0,0
E07000166,Richmondshire,YH,1.46173249,0.033159885,4.1450255,0.528930934,0,0.361884212
E08000005,Rochdale,NW,82.43147377,1.352572213,81.45249362,2.112153753,0,0
E07000075,Rochford,EE,1.67163506,0.038308303,6.999596415,0.897772493,0,0
E07000125,Rossendale,NW,2.28604255,0.048046364,5.33175753,0.684129978,0,0
E07000064,Rother,SE,2.357465768,0.052363645,7.29149729,0.714306157,0,0.06139937
E08000018,Rotherham,YH,83.67829671,1.415226173,102.3378558,3.012676186,0,0
E07000220,Rugby,WM,2.475110428,0.053222346,6.681517752,2.105746439,0,0
E07000212,Runnymede,SE,1.793441795,0.040858753,5.344605264,0.792026832,0,0
E07000176,Rushcliffe,EM,2.423477821,0.05256023,6.345922193,1.364471707,0,0
E07000092,Rushmoor,SE,2.479859673,0.052485568,6.147513186,1.09475606,0,0
E06000017,Rutland,EM,4.284844938,0.098194363,24.87029341,1.231222739,0,0.848495464
E07000167,Ryedale,YH,1.719265943,0.036122221,4.173411132,0.96421115,0,0.572209983
E08000006,Salford,NW,97.95675339,1.601117876,98.8756416,5.93403058,0,0
E08000028,Sandwell,WM,141.4093475,2.243227793,97.31288303,3.598149105,0,0
E07000168,Scarborough,YH,4.79528959,0.094482475,8.662912717,0.701742247,0,0.02072771
E07000188,Sedgemoor,SW,3.908768322,0.078319642,6.30507096,2.053397096,0,0
E08000014,Sefton,NW,81.9066851,1.431534615,126.458685,1.437381602,0,0
E07000169,Selby,YH,2.630329583,0.054200589,5.40325914,1.541182539,0,0.135085949
E07000111,Sevenoaks,SE,2.216508443,0.050794985,10.41972552,1.319962943,0,0
E08000019,Sheffield,YH,191.6763347,3.191399441,205.7277999,5.72230963,0,0
E06000051,Shropshire,WM,62.43604151,1.126007566,145.6382622,7.121965614,0,6.614130947
E31000032,Shropshire Fire,WM,5.332700775,0.086445038,15.44546344,0,0,0.319825994
E06000039,Slough,SE,38.80885509,0.66752701,55.57097923,2.74943805,0,0
E08000029,Solihull,WM,36.27984534,0.666024217,100.2655664,3.071655941,0,0
E10000027,Somerset,SW,81.78366428,1.505661789,232.7569608,2.474985955,0,2.402640219
E07000246,Somerset West and Taunton,SW,0,0,0,0,0,0
E07000006,South Bucks,SE,1.063584976,0.024373822,5.1671372,0.556072302,0,0
E07000012,South Cambridgeshire,EE,2.546365138,0.058354201,8.616465162,3.009511537,0,0.130657019
E07000039,South Derbyshire,EM,2.766074119,0.055634949,5.16907107,2.701972833,0,0
E06000025,South Gloucestershire,SW,46.13058203,0.83031396,133.4876111,6.227720092,0,0
E07000044,South Hams,SW,1.854931515,0.042508847,6.072201798,1.109065419,0,0.408054773
E07000140,South Holland,EM,3.911639735,0.073753741,4.848087168,1.006503774,0,0.159188252
E07000141,South Kesteven,EM,4.022011729,0.080885442,7.146294866,2.086202843,0,0.294613266
E07000031,South Lakeland,NW,2.163506036,0.049580347,8.62905758,0.875047326,0,0.433544746
E07000149,South Norfolk,EE,3.419372015,0.068809369,7.07621717,3.837956467,0,0.285203349
E07000155,South Northamptonshire,EM,1.814008202,0.041571021,6.51911309,2.444795041,0,0.188615056
E07000179,South Oxfordshire,SE,2.697687179,0.057422462,6.528421992,2.48217089,0,0.042228879
E07000126,South Ribble,NW,2.257104428,0.05172531,7.627411088,1.391394516,0,0
E07000189,South Somerset,SW,3.796496447,0.08084065,9.746898984,2.007201962,0,0.166284259
E07000196,South Staffordshire,WM,2.668143817,0.051755999,4.169207934,0.735040982,0,0
E08000023,South Tyneside,NE,67.27310663,1.090314212,57.7345852,1.636612902,0,0
E31000042,South Yorkshire Fire,YH,24.19231473,0.34552849,24.7619113,0,0,0
E06000045,Southampton,SE,70.30460658,1.220241703,95.9345343,5.265353046,0,0
E06000033,Southend-on-Sea,EE,44.26867129,0.778035771,76.20964443,1.445089349,0,0
E09000028,Southwark,L,158.4403713,2.554228816,104.446214,11.39817443,0,0
E07000213,Spelthorne,SE,1.855425534,0.042520168,7.7554432,0.956938172,0,0
E07000240,St Albans,EE,2.428912946,0.055662588,10.648869,1.336851915,0,0
E07000204,St Edmundsbury,EE,2.567430873,0.055543203,6.64720056,1.272448738,0,0.151031994
E08000013,St. Helens,NW,60.12078464,1.018889238,70.99399141,2.414610328,0,0
E07000197,Stafford,WM,2.925204639,0.062261827,7.146946287,2.651028077,0,0.025142892
E10000028,Staffordshire,WM,122.8540064,2.230686012,336.5343652,2.274845701,0,0
